cell_type,distance,inverse,size,dr,space[0],space[1]
PYR,0.0,False,5,0.2266342,0.0,0.0
PYR,6.0,False,5,0.22050585,0.0,0.0
PYR,8.485281,False,5,0.21447803,0.0,0.0
PYR,12.0,False,5,0.20276348,0.0,0.0
PYR,13.416408,False,5,0.19708475,0.0,0.0
PYR,16.970562,False,5,0.18082476,0.0,0.0
PYR,18.0,False,5,0.17566842,0.0,0.0
PYR,18.973665,False,5,0.17064744,0.0,0.0
PYR,21.633308,False,5,0.15638646,0.0,0.0
PYR,24.0,False,5,0.14330727,0.0,0.0
PYR,24.738634,False,5,0.13920198,0.0,0.0
PYR,25.455845,False,5,0.13522607,0.0,0.0
PYR,26.832815,False,5,0.12762454,0.0,0.0
PYR,30.0,False,5,0.110613964,0.0,0.0
PYR,30.594116,False,5,0.10752842,0.0,0.0
PYR,32.31099,False,5,0.09887576,0.0,0.0
PYR,33.941124,False,5,0.09105584,0.0,0.0
PYR,34.98571,False,5,0.08625832,0.0,0.0
PYR,36.0,False,5,0.08176179,0.0,0.0
PYR,36.496574,False,5,0.079634294,0.0,0.0
PYR,37.94733,False,5,0.07366685,0.0,0.0
PYR,38.418747,False,5,0.07182128,0.0,0.0
PYR,40.24922,False,5,0.06494933,0.0,0.0
PYR,42.0,False,5,0.058889046,0.0,0.0
PYR,42.426407,False,5,0.057507858,0.0,0.0
PYR,43.266617,False,5,0.054855928,0.0,0.0
PYR,43.68066,False,5,0.053556442,0.0,0.0
PYR,45.694637,False,5,0.04770086,0.0,0.0
PYR,46.8615,False,5,0.044569097,0.0,0.0
PYR,48.0,False,5,0.04161112,0.0,0.0
PYR,48.373547,False,5,0.04070299,0.0,0.0
PYR,49.47727,False,5,0.03805629,0.0,0.0
PYR,50.91169,False,5,0.034856692,0.0,0.0
PYR,51.264023,False,5,0.034067847,0.0,0.0
PYR,51.613953,False,5,0.03334465,0.0,0.0
PYR,53.66563,False,5,0.029223926,0.0,0.0
PYR,54.0,False,5,0.028589144,0.0,0.0
PYR,54.33231,False,5,0.027975336,0.0,0.0
PYR,55.31727,False,5,0.02622955,0.0,0.0
PYR,56.603886,False,5,0.024078026,0.0,0.0
PYR,56.920998,False,5,0.023568079,0.0,0.0
PYR,59.093147,False,5,0.020376332,0.0,0.0
PYR,59.39697,False,5,0.019977063,0.0,0.0
