cell_type,distance,inverse,size,dr,space[0],space[1]
PYR,0.0,False,5,0.83444756,0.0,0.0
PYR,6.0,False,5,0.819615,0.0,0.0
PYR,8.485281,False,5,0.80489767,0.0,0.0
PYR,12.0,False,5,0.77586555,0.0,0.0
PYR,13.416408,False,5,0.76157403,0.0,0.0
PYR,16.970562,False,5,0.71972525,0.0,0.0
PYR,18.0,False,5,0.7061558,0.0,0.0
PYR,18.973665,False,5,0.6927682,0.0,0.0
PYR,21.633308,False,5,0.6538194,0.0,0.0
PYR,24.0,False,5,0.61676955,0.0,0.0
PYR,24.738634,False,5,0.60483176,0.0,0.0
PYR,25.455845,False,5,0.59308696,0.0,0.0
PYR,26.832815,False,5,0.57028687,0.0,0.0
PYR,30.0,False,5,0.51690376,0.0,0.0
PYR,30.594116,False,5,0.50687224,0.0,0.0
PYR,32.31099,False,5,0.47784144,0.0,0.0
PYR,33.941124,False,5,0.4504961,0.0,0.0
PYR,34.98571,False,5,0.4332364,0.0,0.0
PYR,36.0,False,5,0.41676125,0.0,0.0
PYR,36.496574,False,5,0.40871763,0.0,0.0
PYR,37.94733,False,5,0.38555822,0.0,0.0
PYR,38.418747,False,5,0.3780573,0.0,0.0
PYR,40.24922,False,5,0.3500002,0.0,0.0
PYR,42.0,False,5,0.32425338,0.0,0.0
PYR,42.426407,False,5,0.3179944,0.0,0.0
PYR,43.266617,False,5,0.30589604,0.0,0.0
PYR,43.68066,False,5,0.30026704,0.0,0.0
PYR,45.694637,False,5,0.27279812,0.0,0.0
PYR,46.8615,False,5,0.2573986,0.0,0.0
PYR,48.0,False,5,0.24346912,0.0,0.0
PYR,48.373547,False,5,0.2386603,0.0,0.0
PYR,49.47727,False,5,0.22543293,0.0,0.0
PYR,50.91169,False,5,0.20833096,0.0,0.0
PYR,51.264023,False,5,0.20470324,0.0,0.0
PYR,51.613953,False,5,0.20050916,0.0,0.0
PYR,53.66563,False,5,0.1787605,0.0,0.0
PYR,54.0,False,5,0.17589234,0.0,0.0
PYR,54.33231,False,5,0.17251381,0.0,0.0
PYR,55.31727,False,5,0.16239436,0.0,0.0
PYR,56.603886,False,5,0.15010664,0.0,0.0
PYR,56.920998,False,5,0.14769612,0.0,0.0
PYR,59.093147,False,5,0.12895256,0.0,0.0
PYR,59.39697,False,5,0.12598088,0.0,0.0
PYR,60.0,False,5,0.121732466,0.0,0.0
PYR,60.299255,False,5,0.120240524,0.0,0.0
PYR,61.188232,False,5,0.11349965,0.0,0.0
PYR,61.77378,False,5,0.10842589,0.0,0.0
PYR,62.641838,False,5,0.10314527,0.0,0.0
PYR,63.780876,False,5,0.094624616,0.0,0.0
PYR,64.62198,False,5,0.09033395,0.0,0.0
PYR,64.899925,False,5,0.08799168,0.0,0.0
PYR,66.0,False,5,0.083644345,0.0,0.0
PYR,66.27216,False,5,0.08210751,0.0,0.0
PYR,67.08204,False,5,0.077032715,0.0,0.0
PYR,67.88225,False,5,0.07162021,0.0,0.0
PYR,68.41052,False,5,0.07004152,0.0,0.0
PYR,69.97142,False,5,0.062538825,0.0,0.0
PYR,70.2282,False,5,0.062500805,0.0,0.0
PYR,72.0,False,5,0.05737865,0.0,0.0
PYR,72.249565,False,5,0.054695282,0.0,0.0
PYR,72.498276,False,5,0.05334375,0.0,0.0
PYR,72.99315,False,5,0.053544678,0.0,0.0
PYR,73.239334,False,5,0.049775064,0.0,0.0
PYR,74.215904,False,5,0.049165964,0.0,0.0
PYR,75.17979,False,5,0.04420518,0.0,0.0
PYR,75.89466,False,5,0.043722592,0.0,0.0
PYR,76.36753,False,5,0.039809957,0.0,0.0
PYR,76.837494,False,5,0.038698293,0.0,0.0
PYR,78.0,False,5,0.038848106,0.0,0.0
PYR,78.23043,False,5,0.038058013,0.0,0.0
PYR,78.91768,False,5,0.038532235,0.0,0.0
PYR,80.04999,False,5,0.035612352,0.0,0.0
PYR,80.49844,False,5,0.031694673,0.0,0.0
PYR,80.72174,False,5,0.029559322,0.0,0.0
PYR,81.608826,False,5,0.030082606,0.0,0.0
PYR,83.35467,False,5,0.02598691,0.0,0.0
PYR,83.57033,False,5,0.027889326,0.0,0.0
PYR,84.0,False,5,0.032301858,0.0,0.0
PYR,84.21401,False,5,0.031822644,0.0,0.0
PYR,84.85281,False,5,0.027738383,0.0,0.0
PYR,85.276024,False,5,0.02192957,0.0,0.0
PYR,85.90693,False,5,0.026003715,0.0,0.0
PYR,86.53323,False,5,0.020878926,0.0,0.0
PYR,87.36132,False,5,0.025557317,0.0,0.0
PYR,88.588936,False,5,0.019736655,0.0,0.0
PYR,89.19641,False,5,0.01969225,0.0,0.0
PYR,90.0,False,5,0.019123327,-9.0,-9.0
PYR,90.199776,False,5,0.029119745,-45.0,-45.0
PYR,90.79648,False,5,0.027887732,-45.0,-45.0
PYR,91.389275,False,5,0.019337967,0.0,0.0
PYR,91.58602,False,5,0.016104363,0.0,0.0
PYR,91.78235,False,5,0.025966436,-45.0,-45.0
PYR,93.14505,False,5,0.023532867,-45.0,-45.0
PYR,93.3381,False,5,0.012997195,0.0,0.0
PYR,93.723,False,5,0.012948908,0.0,0.0
PYR,93.914856,False,5,0.016263165,0.0,0.0
PYR,94.86833,False,5,0.015562221,-15.0,-15.0
PYR,96.74709,False,5,0.013426721,0.0,0.0
PYR,96.93297,False,5,0.017939284,-45.0,-45.0
PYR,97.67292,False,5,0.010152325,0.0,0.0
PYR,98.40732,False,5,0.010318406,0.0,0.0
PYR,99.31767,False,5,0.015151322,-45.0,-45.0
PYR,99.8599,False,5,0.010926254,0.0,0.0
PYR,101.82338,False,5,0.008072883,0.0,0.0
PYR,102.0,False,5,0.01256521,-45.0,-45.0
PYR,102.176315,False,5,0.008225769,0.0,0.0
PYR,103.227905,False,5,0.0088160485,0.0,0.0
PYR,104.95713,False,5,0.010274619,-45.0,-45.0
PYR,106.15083,False,5,0.006648019,0.0,0.0
PYR,106.826965,False,5,0.007114269,0.0,0.0
PYR,108.16654,False,5,0.008328512,-45.0,-45.0
PYR,110.308655,False,5,0.0055530965,0.0,0.0
PYR,110.63454,False,5,0.005817361,0.0,0.0
PYR,111.60645,False,5,0.006751403,-45.0,-45.0
PYR,114.62984,False,5,0.0049102083,0.0,0.0
PYR,115.25623,False,5,0.005545005,-45.0,-45.0
PYR,118.79394,False,5,0.0043751746,0.0,0.0
PYR,119.096596,False,5,0.0046993345,-45.0,-45.0
PYR,123.10971,False,5,0.0041986257,-45.0,-45.0
PYR,127.27922,False,5,0.004031241,-90.0,-90.0
PYR,0.0,False,15,0.85628337,0.0,0.0
PYR,6.0,False,15,0.8433843,0.0,0.0
PYR,8.485281,False,15,0.82988566,0.0,0.0
PYR,12.0,False,15,0.80096006,0.0,0.0
PYR,13.416408,False,15,0.7855716,0.0,0.0
PYR,16.970562,False,15,0.7364706,0.0,0.0
PYR,18.0,False,15,0.719386,0.0,0.0
PYR,18.973665,False,15,0.7020749,0.0,0.0
PYR,21.633308,False,15,0.6495304,0.0,0.0
PYR,24.0,False,15,0.5974164,0.0,0.0
PYR,24.738634,False,15,0.58039707,0.0,0.0
PYR,25.455845,False,15,0.5635895,0.0,0.0
PYR,26.832815,False,15,0.5308778,0.0,0.0
PYR,30.0,False,15,0.45505306,0.0,0.0
PYR,30.594116,False,15,0.44106483,0.0,0.0
PYR,32.31099,False,15,0.40139052,0.0,0.0
PYR,33.941124,False,15,0.36525306,0.0,0.0
PYR,34.98571,False,15,0.34313664,0.0,0.0
PYR,36.0,False,15,0.3225299,0.0,0.0
PYR,36.496574,False,15,0.3127446,0.0,0.0
PYR,37.94733,False,15,0.2853885,0.0,0.0
PYR,38.418747,False,15,0.27686864,0.0,0.0
PYR,40.24922,False,15,0.24593645,0.0,0.0
