cell_type,distance,inverse,size,dr,space[0],space[1]
PYR,0.0,False,5,0.5503945,0.0,0.0
PYR,6.0,False,5,0.5367359,0.0,0.0
PYR,8.485281,False,5,0.5231916,0.0,0.0
PYR,12.0,False,5,0.4965489,0.0,0.0
PYR,13.416408,False,5,0.48349738,0.0,0.0
PYR,16.970562,False,5,0.44563708,0.0,0.0
PYR,18.0,False,5,0.43349436,0.0,0.0
PYR,18.973665,False,5,0.4216019,0.0,0.0
PYR,21.633308,False,5,0.38748804,0.0,0.0
PYR,24.0,False,5,0.35578668,0.0,0.0
PYR,24.738634,False,5,0.34575337,0.0,0.0
PYR,25.455845,False,5,0.33598012,0.0,0.0
PYR,26.832815,False,5,0.3172324,0.0,0.0
PYR,30.0,False,5,0.27475348,0.0,0.0
PYR,30.594116,False,5,0.2669794,0.0,0.0
PYR,32.31099,False,5,0.2449919,0.0,0.0
PYR,33.941124,False,5,0.22490741,0.0,0.0
PYR,34.98571,False,5,0.21250081,0.0,0.0
PYR,36.0,False,5,0.20082481,0.0,0.0
PYR,36.496574,False,5,0.19525097,0.0,0.0
PYR,37.94733,False,5,0.17950359,0.0,0.0
PYR,38.418747,False,5,0.1745634,0.0,0.0
PYR,40.24922,False,5,0.1562052,0.0,0.0
PYR,42.0,False,5,0.13986799,0.0,0.0
PYR,42.426407,False,5,0.13607244,0.0,0.0
PYR,43.266617,False,5,0.12878805,0.0,0.0
PYR,43.68066,False,5,0.12529057,0.0,0.0
PYR,45.694637,False,5,0.10917595,0.0,0.0
PYR,46.8615,False,5,0.100487344,0.0,0.0
PYR,48.0,False,5,0.09243372,0.0,0.0
PYR,48.373547,False,5,0.08989051,0.0,0.0
PYR,49.47727,False,5,0.08262131,0.0,0.0
PYR,50.91169,False,5,0.073748425,0.0,0.0
PYR,51.264023,False,5,0.07165898,0.0,0.0
PYR,51.613953,False,5,0.06962787,0.0,0.0
PYR,53.66563,False,5,0.058432885,0.0,0.0
PYR,54.0,False,5,0.056722358,0.0,0.0
PYR,54.33231,False,5,0.055058062,0.0,0.0
PYR,55.31727,False,5,0.050316308,0.0,0.0
PYR,56.603886,False,5,0.04453644,0.0,0.0
PYR,56.920998,False,5,0.043181986,0.0,0.0
PYR,59.093147,False,5,0.034666255,0.0,0.0
PYR,59.39697,False,5,0.033579856,0.0,0.0
PYR,60.0,False,5,0.03148977,0.0,0.0
PYR,60.299255,False,5,0.030488431,0.0,0.0
PYR,61.188232,False,5,0.02765391,0.0,0.0
PYR,61.77378,False,5,0.025898151,0.0,0.0
PYR,62.641838,False,5,0.0234484,0.0,0.0
PYR,63.780876,False,5,0.02050998,0.0,0.0
PYR,64.62198,False,5,0.018528074,0.0,0.0
PYR,64.899925,False,5,0.017907672,0.0,0.0
PYR,66.0,False,5,0.015615404,0.0,0.0
PYR,66.27216,False,5,0.015085898,0.0,0.0
PYR,67.08204,False,5,0.013595514,0.0,0.0
PYR,67.88225,False,5,0.0122461915,0.0,0.0
PYR,68.41052,False,5,0.011415772,0.0,0.0
PYR,69.97142,False,5,0.009234652,0.0,0.0
PYR,70.2282,False,5,0.008913606,0.0,0.0
PYR,72.0,False,5,0.006946236,0.0,0.0
PYR,72.249565,False,5,0.0066980645,0.0,0.0
PYR,72.498276,False,5,0.0064583346,0.0,0.0
PYR,72.99315,False,5,0.006013587,0.0,0.0
PYR,73.239334,False,5,0.0057947487,0.0,0.0
PYR,74.215904,False,5,0.0050162002,0.0,0.0
PYR,75.17979,False,5,0.0043336973,0.0,0.0
PYR,75.89466,False,5,0.0038874224,0.0,0.0
PYR,76.36753,False,5,0.0036112517,0.0,0.0
PYR,76.837494,False,5,0.003355287,0.0,0.0
PYR,78.0,False,5,0.0028018255,0.0,0.0
PYR,78.23043,False,5,0.0027038418,0.0,0.0
PYR,78.91768,False,5,0.0024308711,0.0,0.0
PYR,80.04999,False,5,0.0020196661,0.0,0.0
PYR,80.49844,False,5,0.0018605739,0.0,0.0
PYR,80.72174,False,5,0.0017915741,0.0,0.0
PYR,81.608826,False,5,0.0015494712,0.0,0.0
PYR,83.35467,False,5,0.0011450574,0.0,0.0
