cell_type,distance,inverse,size,dr,space[0],space[1]
PYR,0.0,False,5,0.37054384,0.0,0.0
PYR,6.0,False,5,0.36116856,0.0,0.0
PYR,8.485281,False,5,0.35191503,0.0,0.0
PYR,12.0,False,5,0.33382618,0.0,0.0
PYR,13.416408,False,5,0.3250089,0.0,0.0
PYR,16.970562,False,5,0.29956415,0.0,0.0
PYR,18.0,False,5,0.29143724,0.0,0.0
PYR,18.973665,False,5,0.28348833,0.0,0.0
PYR,21.633308,False,5,0.26074448,0.0,0.0
PYR,24.0,False,5,0.23965454,0.0,0.0
PYR,24.738634,False,5,0.23298472,0.0,0.0
PYR,25.455845,False,5,0.22648975,0.0,0.0
PYR,26.832815,False,5,0.21402812,0.0,0.0
PYR,30.0,False,5,0.18577236,0.0,0.0
PYR,30.594116,False,5,0.18059413,0.0,0.0
PYR,32.31099,False,5,0.16593274,0.0,0.0
PYR,33.941124,False,5,0.15251201,0.0,0.0
PYR,34.98571,False,5,0.14420632,0.0,0.0
PYR,36.0,False,5,0.13637803,0.0,0.0
PYR,36.496574,False,5,0.13263553,0.0,0.0
PYR,37.94733,False,5,0.12204612,0.0,0.0
PYR,38.418747,False,5,0.11871898,0.0,0.0
PYR,40.24922,False,5,0.10633097,0.0,0.0
PYR,42.0,False,5,0.09527616,0.0,0.0
PYR,42.426407,False,5,0.09270349,0.0,0.0
PYR,43.266617,False,5,0.08776282,0.0,0.0
PYR,43.68066,False,5,0.085388795,0.0,0.0
PYR,45.694637,False,5,0.07443586,0.0,0.0
PYR,46.8615,False,5,0.068522915,0.0,0.0
PYR,48.0,False,5,0.06304011,0.0,0.0
PYR,48.373547,False,5,0.061307274,0.0,0.0
PYR,49.47727,False,5,0.056355424,0.0,0.0
PYR,50.91169,False,5,0.05030866,0.0,0.0
PYR,51.264023,False,5,0.04888525,0.0,0.0
PYR,51.613953,False,5,0.047501244,0.0,0.0
PYR,53.66563,False,5,0.039874986,0.0,0.0
PYR,54.0,False,5,0.038709417,0.0,0.0
PYR,54.33231,False,5,0.037576325,0.0,0.0
PYR,55.31727,False,5,0.03434651,0.0,0.0
PYR,56.603886,False,5,0.030410416,0.0,0.0
PYR,56.920998,False,5,0.029488042,0.0,0.0
PYR,59.093147,False,5,0.02368959,0.0,0.0
PYR,59.39697,False,5,0.022949561,0.0,0.0
PYR,60.0,False,5,0.021526217,0.0,0.0
PYR,60.299255,False,5,0.020843655,0.0,0.0
PYR,61.188232,False,5,0.018912844,0.0,0.0
PYR,61.77378,False,5,0.017716534,0.0,0.0
PYR,62.641838,False,5,0.016046882,0.0,0.0
PYR,63.780876,False,5,0.014043823,0.0,0.0
PYR,64.62198,False,5,0.0126919,0.0,0.0
PYR,64.899925,False,5,0.012268744,0.0,0.0
PYR,66.0,False,5,0.010702476,0.0,0.0
PYR,66.27216,False,5,0.010340899,0.0,0.0
PYR,67.08204,False,5,0.00932334,0.0,0.0
PYR,67.88225,False,5,0.008401334,0.0,0.0
PYR,68.41052,False,5,0.0078328885,0.0,0.0
PYR,69.97142,False,5,0.0063400343,0.0,0.0
PYR,70.2282,False,5,0.006118983,0.0,0.0
PYR,72.0,False,5,0.0047680885,0.0,0.0
PYR,72.249565,False,5,0.0045992397,0.0,0.0
PYR,72.498276,False,5,0.0044350177,0.0,0.0
PYR,72.99315,False,5,0.00412789,0.0,0.0
PYR,73.239334,False,5,0.0039803907,0.0,0.0
PYR,74.215904,False,5,0.0034432933,0.0,0.0
PYR,75.17979,False,5,0.0029753968,0.0,0.0
PYR,75.89466,False,5,0.0026662499,0.0,0.0
PYR,76.36753,False,5,0.0024785101,0.0,0.0
PYR,76.837494,False,5,0.0023022518,0.0,0.0
PYR,78.0,False,5,0.0019176999,0.0,0.0
