cell_type,distance,inverse,size,dr,space[0],space[1]
PYR,0.0,False,5,0.83977956,0.0,0.0
PYR,6.0,False,5,0.8235543,0.0,0.0
PYR,8.485281,False,5,0.8075801,0.0,0.0
PYR,12.0,False,5,0.7763899,0.0,0.0
PYR,13.416408,False,5,0.76117337,0.0,0.0
PYR,16.970562,False,5,0.71704495,0.0,0.0
PYR,18.0,False,5,0.7028425,0.0,0.0
PYR,18.973665,False,5,0.6888895,0.0,0.0
PYR,21.633308,False,5,0.6485214,0.0,0.0
PYR,24.0,False,5,0.61034656,0.0,0.0
PYR,24.738634,False,5,0.59809625,0.0,0.0
PYR,25.455845,False,5,0.5860758,0.0,0.0
PYR,26.832815,False,5,0.56273085,0.0,0.0
PYR,30.0,False,5,0.5082376,0.0,0.0
PYR,30.594116,False,5,0.49798495,0.0,0.0
PYR,32.31099,False,5,0.46842778,0.0,0.0
PYR,33.941124,False,5,0.4406289,0.0,0.0
PYR,34.98571,False,5,0.423042,0.0,0.0
PYR,36.0,False,5,0.4061882,0.0,0.0
PYR,36.496574,False,5,0.3980108,0.0,0.0
PYR,37.94733,False,5,0.3744743,0.0,0.0
PYR,38.418747,False,5,0.36693037,0.0,0.0
PYR,40.24922,False,5,0.33836776,0.0,0.0
PYR,42.0,False,5,0.31210402,0.0,0.0
PYR,42.426407,False,5,0.30583587,0.0,0.0
PYR,43.266617,False,5,0.2936859,0.0,0.0
PYR,43.68066,False,5,0.28785443,0.0,0.0
PYR,45.694637,False,5,0.26016966,0.0,0.0
PYR,46.8615,False,5,0.24480344,0.0,0.0
PYR,48.0,False,5,0.23049854,0.0,0.0
PYR,48.373547,False,5,0.22581789,0.0,0.0
PYR,49.47727,False,5,0.21251512,0.0,0.0
PYR,50.91169,False,5,0.1957835,0.0,0.0
PYR,51.264023,False,5,0.19193827,0.0,0.0
PYR,51.613953,False,5,0.18797603,0.0,0.0
PYR,53.66563,False,5,0.16634026,0.0,0.0
PYR,54.0,False,5,0.16316791,0.0,0.0
PYR,54.33231,False,5,0.15985659,0.0,0.0
PYR,55.31727,False,5,0.15018487,0.0,0.0
PYR,56.603886,False,5,0.13827243,0.0,0.0
PYR,56.920998,False,5,0.13562939,0.0,0.0
PYR,59.093147,False,5,0.11743804,0.0,0.0
PYR,59.39697,False,5,0.11486624,0.0,0.0
PYR,60.0,False,5,0.110444725,0.0,0.0
PYR,60.299255,False,5,0.10853847,0.0,0.0
PYR,61.188232,False,5,0.102055125,0.0,0.0
PYR,61.77378,False,5,0.09761139,0.0,0.0
PYR,62.641838,False,5,0.0921168,0.0,0.0
PYR,63.780876,False,5,0.084485285,0.0,0.0
PYR,64.62198,False,5,0.07985304,0.0,0.0
PYR,64.899925,False,5,0.07796388,0.0,0.0
PYR,66.0,False,5,0.072837114,0.0,0.0
PYR,66.27216,False,5,0.071379445,0.0,0.0
PYR,67.08204,False,5,0.066863105,0.0,0.0
PYR,67.88225,False,5,0.062358573,0.0,0.0
PYR,68.41052,False,5,0.06036136,0.0,0.0
PYR,69.97142,False,5,0.053371787,0.0,0.0
PYR,70.2282,False,5,0.052847043,0.0,0.0
PYR,72.0,False,5,0.0472551,0.0,0.0
PYR,72.249565,False,5,0.04542365,0.0,0.0
PYR,72.498276,False,5,0.04423847,0.0,0.0
PYR,72.99315,False,5,0.04369521,0.0,0.0
PYR,73.239334,False,5,0.04128629,0.0,0.0
PYR,74.215904,False,5,0.039641723,0.0,0.0
PYR,75.17979,False,5,0.035693057,0.0,0.0
