cell_type,distance,inverse,size,dr,space[0],space[1]
PYR,0.0,False,5,0.27626866,0.0,0.0
PYR,6.0,False,5,0.26679125,0.0,0.0
PYR,8.485281,False,5,0.25740764,0.0,0.0
PYR,12.0,False,5,0.2390236,0.0,0.0
PYR,13.416408,False,5,0.23006377,0.0,0.0
PYR,16.970562,False,5,0.20434637,0.0,0.0
PYR,18.0,False,5,0.19620565,0.0,0.0
PYR,18.973665,False,5,0.18828398,0.0,0.0
PYR,21.633308,False,5,0.16593224,0.0,0.0
PYR,24.0,False,5,0.14572345,0.0,0.0
PYR,24.738634,False,5,0.13945952,0.0,0.0
PYR,25.455845,False,5,0.13342202,0.0,0.0
PYR,26.832815,False,5,0.122038856,0.0,0.0
PYR,30.0,False,5,0.09734086,0.0,0.0
PYR,30.594116,False,5,0.0930097,0.0,0.0
PYR,32.31099,False,5,0.08112884,0.0,0.0
PYR,33.941124,False,5,0.07080303,0.0,0.0
PYR,34.98571,False,5,0.06470002,0.0,0.0
PYR,36.0,False,5,0.05915746,0.0,0.0
PYR,36.496574,False,5,0.056599095,0.0,0.0
PYR,37.94733,False,5,0.049645163,0.0,0.0
PYR,38.418747,False,5,0.04756639,0.0,0.0
PYR,40.24922,False,5,0.040164866,0.0,0.0
PYR,42.0,False,5,0.034081727,0.0,0.0
PYR,42.426407,False,5,0.032759134,0.0,0.0
PYR,43.266617,False,5,0.03027682,0.0,0.0
PYR,43.68066,False,5,0.02908577,0.0,0.0
PYR,45.694637,False,5,0.023952715,0.0,0.0
PYR,46.8615,False,5,0.021353237,0.0,0.0
PYR,48.0,False,5,0.018939674,0.0,0.0
PYR,48.373547,False,5,0.018227644,0.0,0.0
PYR,49.47727,False,5,0.016149722,0.0,0.0
PYR,50.91169,False,5,0.013723016,0.0,0.0
PYR,51.264023,False,5,0.013105869,0.0,0.0
PYR,51.613953,False,5,0.012580149,0.0,0.0
PYR,53.66563,False,5,0.009525321,0.0,0.0
PYR,54.0,False,5,0.009037301,0.0,0.0
PYR,54.33231,False,5,0.008597672,0.0,0.0
PYR,55.31727,False,5,0.007385947,0.0,0.0
PYR,56.603886,False,5,0.005918704,0.0,0.0
PYR,56.920998,False,5,0.0055505037,0.0,0.0
PYR,59.093147,False,5,0.0035375357,0.0,0.0
PYR,59.39697,False,5,0.0033381134,0.0,0.0
PYR,60.0,False,5,0.0028668891,0.0,0.0
PYR,60.299255,False,5,0.0026407987,0.0,0.0
PYR,61.188232,False,5,0.0020767748,0.0,0.0
PYR,61.77378,False,5,0.0017541125,0.0,0.0
PYR,62.641838,False,5,0.0013323948,0.0,0.0
PYR,63.780876,False,5,0.0009253174,0.0,0.0
PYR,64.62198,False,5,0.00064944476,0.0,0.0
PYR,64.899925,False,5,0.00058925897,0.0,0.0
PYR,66.0,False,5,0.00046300888,0.0,0.0
PYR,66.27216,False,5,0.00042167306,0.0,0.0
PYR,67.08204,False,5,0.00029057264,0.0,0.0
PYR,67.88225,False,5,0.00023268163,0.0,0.0
PYR,68.41052,False,5,0.00023964047,0.0,0.0
PYR,69.97142,False,5,0.00024781376,0.0,0.0
PYR,70.2282,False,5,0.00031667203,0.0,0.0
PYR,72.0,False,5,0.00071690977,0.0,0.0
PYR,72.249565,False,5,0.00060398504,0.0,0.0
PYR,72.498276,False,5,0.00052143633,0.0,0.0
PYR,72.99315,False,5,0.00080659986,0.0,0.0
PYR,73.239334,False,5,0.0005773902,0.0,0.0
PYR,74.215904,False,5,0.00093141943,0.0,0.0
PYR,75.17979,False,5,0.0008485615,0.0,0.0
PYR,75.89466,False,5,0.001109235,0.0,0.0
PYR,76.36753,False,5,0.0009820163,0.0,0.0
PYR,76.837494,False,5,0.0010328591,0.0,0.0
PYR,78.0,False,5,0.0014711916,0.0,0.0
PYR,78.23043,False,5,0.001499135,0.0,0.0
PYR,78.91768,False,5,0.0018339977,0.0,0.0
PYR,80.04999,False,5,0.0018738434,0.0,0.0
PYR,80.49844,False,5,0.0014859736,0.0,0.0
PYR,80.72174,False,5,0.0013878867,0.0,0.0
PYR,81.608826,False,5,0.0016721003,0.0,0.0
PYR,83.35467,False,5,0.0015732795,0.0,0.0
PYR,83.57033,False,5,0.0018862411,0.0,0.0
PYR,84.0,False,5,0.002594009,0.0,0.0
PYR,84.21401,False,5,0.0025820434,0.0,0.0
PYR,84.85281,False,5,0.0021947175,0.0,0.0
PYR,85.276024,False,5,0.0015060902,0.0,0.0
PYR,85.90693,False,5,0.0021302104,0.0,0.0
PYR,86.53323,False,5,0.0015312955,0.0,0.0
PYR,87.36132,False,5,0.0023240894,0.0,0.0
PYR,88.588936,False,5,0.0016344637,0.0,0.0
PYR,89.19641,False,5,0.001749631,0.0,0.0
PYR,90.0,False,5,0.0016573012,-9.0,-9.0
PYR,90.199776,False,5,0.0028395355,-45.0,-45.0
PYR,90.79648,False,5,0.0027662516,-45.0,-45.0
PYR,91.389275,False,5,0.0018643513,0.0,0.0
PYR,91.58602,False,5,0.0013849065,0.0,0.0
PYR,91.78235,False,5,0.0026360601,-45.0,-45.0
PYR,93.14505,False,5,0.0024409294,-45.0,-45.0
PYR,93.3381,False,5,0.0010913908,0.0,0.0
PYR,93.723,False,5,0.0010778084,0.0,0.0
PYR,93.914856,False,5,0.0015451685,0.0,0.0
PYR,94.86833,False,5,0.0014446179,-15.0,-15.0
PYR,96.74709,False,5,0.0011911988,0.0,0.0
PYR,96.93297,False,5,0.0018569678,-45.0,-45.0
PYR,97.67292,False,5,0.00074760616,0.0,0.0
PYR,98.40732,False,5,0.00074726343,0.0,0.0
PYR,99.31767,False,5,0.0014899075,-45.0,-45.0
PYR,99.8599,False,5,0.00083179027,0.0,0.0
PYR,101.82338,False,5,0.00042653084,0.0,0.0
PYR,102.0,False,5,0.0011057258,-45.0,-45.0
PYR,102.176315,False,5,0.000432916,0.0,0.0
PYR,103.227905,False,5,0.0004976168,0.0,0.0
PYR,104.95713,False,5,0.00073581934,-45.0,-45.0
PYR,106.15083,False,5,0.00016445667,0.0,0.0
PYR,106.826965,False,5,0.00021394342,0.0,0.0
PYR,108.16654,False,5,0.00040619075,-45.0,-45.0
PYR,110.308655,False,5,-3.5330653e-05,0.0,0.0
PYR,110.63454,False,5,-5.699694e-06,0.0,0.0
PYR,111.60645,False,5,0.00013661385,-45.0,-45.0
PYR,114.62984,False,5,-0.00015806407,0.0,0.0
PYR,115.25623,False,5,-6.41793e-05,-45.0,-45.0
PYR,118.79394,False,5,-0.00024548173,0.0,0.0
PYR,119.096596,False,5,-0.00019872189,-45.0,-45.0
PYR,123.10971,False,5,-0.0002747178,-45.0,-45.0
PYR,127.27922,False,5,-0.00029832125,-90.0,-90.0
PYR,0.0,False,15,0.7210539,0.0,0.0
PYR,6.0,False,15,0.6879861,0.0,0.0
PYR,8.485281,False,15,0.65572345,0.0,0.0
PYR,12.0,False,15,0.59329367,0.0,0.0
PYR,13.416408,False,15,0.56306064,0.0,0.0
PYR,16.970562,False,15,0.4768894,0.0,0.0
PYR,18.0,False,15,0.44986236,0.0,0.0
PYR,18.973665,False,15,0.4237472,0.0,0.0
PYR,21.633308,False,15,0.35134104,0.0,0.0
PYR,24.0,False,15,0.28829184,0.0,0.0
PYR,24.738634,False,15,0.2693902,0.0,0.0
PYR,25.455845,False,15,0.25147012,0.0,0.0
PYR,26.832815,False,15,0.21875502,0.0,0.0
PYR,30.0,False,15,0.15323298,0.0,0.0
PYR,30.594116,False,15,0.14272578,0.0,0.0
PYR,32.31099,False,15,0.11547586,0.0,0.0
PYR,33.941124,False,15,0.09403966,0.0,0.0
PYR,34.98571,False,15,0.08259015,0.0,0.0
PYR,36.0,False,15,0.073054,0.0,0.0
PYR,36.496574,False,15,0.06892937,0.0,0.0
PYR,37.94733,False,15,0.058695853,0.0,0.0
PYR,38.418747,False,15,0.05589442,0.0,0.0
PYR,40.24922,False,15,0.047408544,0.0,0.0
PYR,42.0,False,15,0.042057917,0.0,0.0
PYR,42.426407,False,15,0.04108849,0.0,0.0
PYR,43.266617,False,15,0.039451867,0.0,0.0
PYR,43.68066,False,15,0.038795523,0.0,0.0
PYR,45.694637,False,15,0.036419585,0.0,0.0
PYR,46.8615,False,15,0.03549532,0.0,0.0
PYR,48.0,False,15,0.034753993,0.0,0.0
PYR,48.373547,False,15,0.03451385,0.0,0.0
PYR,49.47727,False,15,0.03382139,0.0,0.0
PYR,50.91169,False,15,0.03278616,0.0,0.0
PYR,51.264023,False,15,0.032528058,0.0,0.0
PYR,51.613953,False,15,0.032221667,0.0,0.0
PYR,53.66563,False,15,0.030242786,0.0,0.0
PYR,54.0,False,15,0.029891983,0.0,0.0
PYR,54.33231,False,15,0.029503316,0.0,0.0
PYR,55.31727,False,15,0.028254699,0.0,0.0
PYR,56.603886,False,15,0.026479378,0.0,0.0
PYR,56.920998,False,15,0.02604352,0.0,0.0
PYR,59.093147,False,15,0.022686012,0.0,0.0
PYR,59.39697,False,15,0.022165269,0.0,0.0
PYR,60.0,False,15,0.02120856,0.0,0.0
PYR,60.299255,False,15,0.020748802,0.0,0.0
PYR,61.188232,False,15,0.019292504,0.0,0.0
